year,Frauenfussball,Herrenfussball,Total,Frauen_Anteil
2007,0,3747,3747,0.0
2008,1,5107,5108,0.0002
2009,1,26780,26781,0.0
2010,5,25659,25664,0.0002
2011,2,22794,22796,0.0001
2012,10,22712,22722,0.0004
2013,4,22812,22816,0.0002
2014,21,24321,24342,0.0009
2015,15,21525,21540,0.0007
2016,27,23188,23215,0.0012
2017,53,23027,23080,0.0023
2018,53,23383,23436,0.0023
2019,598,20580,21178,0.0282
2020,67,18002,18069,0.0037
2021,93,23235,23328,0.004
2022,334,16614,16948,0.0197
2023,418,12470,12888,0.0324
2024,91,10878,10969,0.0083
2025,203,12853,13056,0.0155
